DEBUG: General     , 1724590083249> LoggerManager.init                  > Initializing...
LOG  : General     , 1724590083847> Memory RAM = { [Capacity=17179869184,Manufacturer=G Skill Intl], [Capacity=17179869184,Manufacturer=G Skill Intl] }
LOG  : General     , 1724590083847> ========================
LOG  : General     , 1724590083847> -- listing properties --
LOG  : General     , 1724590083847> java.specification.version=17
LOG  : General     , 1724590083847> sun.cpu.isalist=amd64
LOG  : General     , 1724590083848> sun.jnu.encoding=Cp1252
LOG  : General     , 1724590083848> java.class.path=.;commons-compress-1.18.jar;istack-co...
LOG  : General     , 1724590083848> java.vm.vendor=Azul Systems, Inc.
LOG  : General     , 1724590083848> sun.arch.data.model=64
LOG  : General     , 1724590083848> user.variant=
LOG  : General     , 1724590083848> java.vendor.url=http://www.azul.com/
LOG  : General     , 1724590083848> user.timezone=America/Chicago
LOG  : General     , 1724590083848> zomboid.steam=1
LOG  : General     , 1724590083848> java.vm.specification.version=17
LOG  : General     , 1724590083848> os.name=Windows 10
LOG  : General     , 1724590083849> user.country=US
LOG  : General     , 1724590083849> sun.boot.library.path=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1724590083849> zomboid.znetlog=1
LOG  : General     , 1724590083849> jdk.debug=release
LOG  : General     , 1724590083849> sun.cpu.endian=little
LOG  : General     , 1724590083849> user.home=C:\Users\Stone
LOG  : General     , 1724590083849> user.language=en
LOG  : General     , 1724590083849> java.specification.vendor=Oracle Corporation
LOG  : General     , 1724590083849> java.version.date=2021-10-19
LOG  : General     , 1724590083850> java.home=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1724590083850> file.separator=\
LOG  : General     , 1724590083850> java.vm.compressedOopsMode=Zero based
LOG  : General     , 1724590083850> line.separator=

LOG  : General     , 1724590083850> java.vm.specification.vendor=Oracle Corporation
LOG  : General     , 1724590083850> java.specification.name=Java Platform API Specification
LOG  : General     , 1724590083850> java.awt.headless=true
LOG  : General     , 1724590083850> user.script=
LOG  : General     , 1724590083850> sun.management.compiler=HotSpot 64-Bit Tiered Compilers
LOG  : General     , 1724590083851> java.runtime.version=17.0.1+12-LTS
LOG  : General     , 1724590083851> user.name=Stone
LOG  : General     , 1724590083851> path.separator=;
LOG  : General     , 1724590083851> os.version=10.0
LOG  : General     , 1724590083851> java.runtime.name=OpenJDK Runtime Environment
LOG  : General     , 1724590083851> file.encoding=Cp1252
LOG  : General     , 1724590083851> java.vm.name=OpenJDK 64-Bit Server VM
LOG  : General     , 1724590083851> java.vendor.version=Zulu17.30+15-CA
LOG  : General     , 1724590083851> java.vendor.url.bug=http://www.azul.com/support/
LOG  : General     , 1724590083851> java.io.tmpdir=C:\Users\Stone\AppData\Local\Temp\
LOG  : General     , 1724590083851> java.version=17.0.1
LOG  : General     , 1724590083852> user.dir=C:\Program Files (x86)\Steam\steamapp...
LOG  : General     , 1724590083852> os.arch=amd64
LOG  : General     , 1724590083852> java.vm.specification.name=Java Virtual Machine Specification
LOG  : General     , 1724590083852> sun.os.patch.level=
LOG  : General     , 1724590083852> native.encoding=Cp1252
LOG  : General     , 1724590083852> java.library.path=win64/;.
LOG  : General     , 1724590083852> java.vm.info=mixed mode, sharing
LOG  : General     , 1724590083852> java.vendor=Azul Systems, Inc.
LOG  : General     , 1724590083852> java.vm.version=17.0.1+12-LTS
LOG  : General     , 1724590083852> sun.io.unicode.encoding=UnicodeLittle
LOG  : General     , 1724590083852> java.class.version=61.0
LOG  : General     , 1724590083852> -----
LOG  : General     , 1724590083853> version=41.78.16 demo=false
LOG  : General     , 1724590084006> LightingFPS set to 15
LOG  : General     , 1724590084007> [javafmodJNI] Init: Start
LOG  : General     , 1724590084007> [javafmodJNI] Init: WIN 64
LOG  : General     , 1724590084019> 1724590084017 fmod: Java loging: OK
LOG  : General     , 1724590084026> 1724590084026 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1724590084026> 1724590084026 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1724590084026> 1724590084026 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1724590084026> 1724590084026 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1724590084026> 1724590084026 fmod: System Create: OK
LOG  : General     , 1724590084027> 1724590084027 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1724590084086> 1724590084086 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1724590084087> 1724590084087 fmod: Creating DSP for capture sound
LOG  : General     , 1724590084087> 1724590084087 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1724590084087> 1724590084087 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1724590084087> 1724590084087 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1724590084087> 1724590084087 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1724590084087> 1724590084087 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1724590084694> GraphicsCard: NVIDIA Corporation NVIDIA GeForce RTX 3070/PCIe/SSE2
LOG  : General     , 1724590084694> OpenGL version: 4.6.0 NVIDIA 560.94
LOG  : General     , 1724590084695> Desktop resolution 1920x1080
LOG  : General     , 1724590084696> Initial resolution 1920x1017 fullScreen=false
LOG  : General     , 1724590084696> OpenGL 1.5 buffer objects supported
LOG  : General     , 1724590084697> VSync: OFF
LOG  : General     , 1724590084707> NVIDIA: current available GPU memory is 6840 MB
LOG  : General     , 1724590084707> NVIDIA: dedicated available GPU memory is 8192 MB
LOG  : General     , 1724590084707> NVIDIA: total available GPU memory is 8192 MB
LOG  : General     , 1724590089727> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont_0.png
LOG  : General     , 1724590089729> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/mainfont2_0.png
WARN : General     , 1724590089734> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1724590089734> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1724590089734> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1724590089735> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1724590089736> AngelCodeFont failed to load page 0 texture C:/Program Files (x86)/Steam/steamapps/common/ProjectZomboid/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1724590089745> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1724590089833> Loading networking libraries...
LOG  : General     , 1724590089834> Loading steam_api64...
LOG  : General     , 1724590089834> Loading RakNet64...
LOG  : General     , 1724590089835> Loading ZNetJNI64...
LOG  : Network     , 1724590089959> [25-08-24 07:48:09.959] > ZNet: SetLogLevel 2
LOG  : Network     , 1724590089960> [25-08-24 07:48:09.960] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1724590089960> SteamUtils initialised successfully
LOG  : Network     , 1724590090030> [25-08-24 07:48:10.030] > ZNet: workshop item 2802298898 is not installed
LOG  : Mod         , 1724590090318> refusing to list examplemod
LOG  : Mod         , 1724590090330> 2x version of morebuild.pack found.
LOG  : Mod         , 1724590090332> 2x version of improvisedflooring.pack not found.
LOG  : Mod         , 1724590090335> 2x version of XNTree.pack not found.
LOG  : Mod         , 1724590090336> 2x version of haragon_tiles.pack not found.
LOG  : Mod         , 1724590090339> 2x version of solarmod_tileset.pack found.
LOG  : Mod         , 1724590090340> 2x version of megamalltiles.pack not found.
LOG  : Mod         , 1724590090343> 2x version of diederiks_tile_palooza.pack not found.
LOG  : Mod         , 1724590090343> 2x version of tkTiles_01.pack not found.
LOG  : Mod         , 1724590090346> 2x version of grapeseed.pack not found.
LOG  : Mod         , 1724590090347> 2x version of DTilesPack.pack not found.
LOG  : Mod         , 1724590090361> 2x version of Redstonepak.pack not found.
LOG  : Mod         , 1724590090362> 2x version of A26_Tiles.pack not found.
LOG  : Mod         , 1724590090366> 2x version of tsarcraft_music.pack found.
LOG  : Mod         , 1724590090370> 2x version of water_dispenser.pack not found.
LOG  : Mod         , 1724590090374> 2x version of GreggiesGarageDoors.pack not found.
LOG  : Mod         , 1724590090387> 2x version of hcBuilding.pack found.
LOG  : Mod         , 1724590090397> loading CrowdControl
LOG  : Mod         , 1724590090398> loading ToadTraits
LOG  : Mod         , 1724590090415> mod "ToadTraits" overrides media/fileguidtable.xml
LOG  : Mod         , 1724590090416> mod "ToadTraits" overrides media/lua/client/camping/timedactions/islightfromkindle.lua
LOG  : Mod         , 1724590090416> mod "ToadTraits" overrides media/lua/client/camping/timedactions/islightfromliterature.lua
LOG  : Mod         , 1724590090416> mod "ToadTraits" overrides media/lua/client/camping/timedactions/islightfrompetrol.lua
LOG  : Mod         , 1724590090417> mod "ToadTraits" overrides media/lua/client/timedactions/isbbqlightfromkindle.lua
LOG  : Mod         , 1724590090418> mod "ToadTraits" overrides media/lua/client/timedactions/isbbqlightfromliterature.lua
LOG  : Mod         , 1724590090418> mod "ToadTraits" overrides media/lua/client/timedactions/isbbqlightfrompetrol.lua
LOG  : Mod         , 1724590090418> mod "ToadTraits" overrides media/lua/client/timedactions/isburncorpseaction.lua
LOG  : Mod         , 1724590090419> mod "ToadTraits" overrides media/lua/client/timedactions/isfireplacelightfromkindle.lua
LOG  : Mod         , 1724590090419> mod "ToadTraits" overrides media/lua/client/timedactions/isfireplacelightfromliterature.lua
LOG  : Mod         , 1724590090419> mod "ToadTraits" overrides media/lua/client/timedactions/isfireplacelightfrompetrol.lua
LOG  : Mod         , 1724590090420> mod "ToadTraits" overrides media/lua/shared/translate/ar/sandbox_ar.txt
LOG  : Mod         , 1724590090421> mod "ToadTraits" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1724590090421> mod "ToadTraits" overrides media/lua/shared/translate/ar/ui_ar.txt
LOG  : Mod         , 1724590090422> mod "ToadTraits" overrides media/lua/shared/translate/ch/moodles_ch.txt
LOG  : Mod         , 1724590090422> mod "ToadTraits" overrides media/lua/shared/translate/ch/sandbox_ch.txt
LOG  : Mod         , 1724590090422> mod "ToadTraits" overrides media/lua/shared/translate/ch/tooltip_ch.txt
LOG  : Mod         , 1724590090423> mod "ToadTraits" overrides media/lua/shared/translate/ch/ui_ch.txt
LOG  : Mod         , 1724590090423> mod "ToadTraits" overrides media/lua/shared/translate/cn/itemname_cn.txt
LOG  : Mod         , 1724590090423> mod "ToadTraits" overrides media/lua/shared/translate/cn/moodles_cn.txt
LOG  : Mod         , 1724590090424> mod "ToadTraits" overrides media/lua/shared/translate/cn/sandbox_cn.txt
LOG  : Mod         , 1724590090424> mod "ToadTraits" overrides media/lua/shared/translate/cn/tooltip_cn.txt
LOG  : Mod         , 1724590090425> mod "ToadTraits" overrides media/lua/shared/translate/cn/ui_cn.txt
LOG  : Mod         , 1724590090425> mod "ToadTraits" overrides media/lua/shared/translate/de/sandbox_de.txt
LOG  : Mod         , 1724590090425> mod "ToadTraits" overrides media/lua/shared/translate/de/tooltip_de.txt
LOG  : Mod         , 1724590090426> mod "ToadTraits" overrides media/lua/shared/translate/de/ui_de.txt
LOG  : Mod         , 1724590090426> mod "ToadTraits" overrides media/lua/shared/translate/en/moodles_en.txt
LOG  : Mod         , 1724590090426> mod "ToadTraits" overrides media/lua/shared/translate/en/sandbox_en.txt
LOG  : Mod         , 1724590090427> mod "ToadTraits" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1724590090427> mod "ToadTraits" overrides media/lua/shared/translate/en/ui_en.txt
LOG  : Mod         , 1724590090427> mod "ToadTraits" overrides media/lua/shared/translate/es/sandbox_es.txt
LOG  : Mod         , 1724590090428> mod "ToadTraits" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1724590090428> mod "ToadTraits" overrides media/lua/shared/translate/es/ui_es.txt
LOG  : Mod         , 1724590090428> mod "ToadTraits" overrides media/lua/shared/translate/fr/sandbox_fr.txt
LOG  : Mod         , 1724590090429> mod "ToadTraits" overrides media/lua/shared/translate/fr/tooltip_fr.txt
LOG  : Mod         , 1724590090429> mod "ToadTraits" overrides media/lua/shared/translate/fr/ui_fr.txt
LOG  : Mod         , 1724590090430> mod "ToadTraits" overrides media/lua/shared/translate/jp/moodles_jp.txt
LOG  : Mod         , 1724590090430> mod "ToadTraits" overrides media/lua/shared/translate/jp/sandbox_jp.txt
LOG  : Mod         , 1724590090430> mod "ToadTraits" overrides media/lua/shared/translate/jp/tooltip_jp.txt
LOG  : Mod         , 1724590090431> mod "ToadTraits" overrides media/lua/shared/translate/jp/ui_jp.txt
LOG  : Mod         , 1724590090431> mod "ToadTraits" overrides media/lua/shared/translate/ko/itemname_ko.txt
LOG  : Mod         , 1724590090431> mod "ToadTraits" overrides media/lua/shared/translate/ko/moodles_ko.txt
LOG  : Mod         , 1724590090432> mod "ToadTraits" overrides media/lua/shared/translate/ko/recipes_ko.txt
LOG  : Mod         , 1724590090432> mod "ToadTraits" overrides media/lua/shared/translate/ko/sandbox_ko.txt
LOG  : Mod         , 1724590090432> mod "ToadTraits" overrides media/lua/shared/translate/ko/tooltip_ko.txt
LOG  : Mod         , 1724590090433> mod "ToadTraits" overrides media/lua/shared/translate/ko/ui_ko.txt
LOG  : Mod         , 1724590090433> mod "ToadTraits" overrides media/lua/shared/translate/pl/sandbox_pl.txt
LOG  : Mod         , 1724590090434> mod "ToadTraits" overrides media/lua/shared/translate/pl/tooltip_pl.txt
LOG  : Mod         , 1724590090434> mod "ToadTraits" overrides media/lua/shared/translate/pl/ui_pl.txt
LOG  : Mod         , 1724590090434> mod "ToadTraits" overrides media/lua/shared/translate/ptbr/sandbox_ptbr.txt
LOG  : Mod         , 1724590090435> mod "ToadTraits" overrides media/lua/shared/translate/ptbr/tooltip_ptbr.txt
LOG  : Mod         , 1724590090435> mod "ToadTraits" overrides media/lua/shared/translate/ptbr/ui_ptbr.txt
LOG  : Mod         , 1724590090435> mod "ToadTraits" overrides media/lua/shared/translate/ru/itemname_ru.txt
LOG  : Mod         , 1724590090436> mod "ToadTraits" overrides media/lua/shared/translate/ru/sandbox_ru.txt
LOG  : Mod         , 1724590090436> mod "ToadTraits" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1724590090436> mod "ToadTraits" overrides media/lua/shared/translate/ru/ui_ru.txt
LOG  : Mod         , 1724590090437> mod "ToadTraits" overrides media/lua/shared/translate/tr/sandbox_tr.txt
LOG  : Mod         , 1724590090437> mod "ToadTraits" overrides media/lua/shared/translate/tr/tooltip_tr.txt
LOG  : Mod         , 1724590090437> mod "ToadTraits" overrides media/lua/shared/translate/tr/ui_tr.txt
LOG  : Mod         , 1724590090461> loading ToadTraitsDisableSpec
LOG  : Mod         , 1724590090462> mod "ToadTraitsDisableSpec" overrides generic.png
LOG  : Mod         , 1724590090462> mod "ToadTraitsDisableSpec" overrides icon.png
LOG  : Mod         , 1724590090462> loading ToadTraitsDisablePrepared
LOG  : Mod         , 1724590090463> mod "ToadTraitsDisablePrepared" overrides generic.png
LOG  : Mod         , 1724590090463> mod "ToadTraitsDisablePrepared" overrides icon.png
LOG  : Mod         , 1724590090463> loading MoreBuilds
LOG  : Mod         , 1724590090514> mod "MoreBuilds" overrides media/lua/shared/translate/ch/contextmenu_ch.txt
LOG  : Mod         , 1724590090515> mod "MoreBuilds" overrides media/lua/shared/translate/ch/sandbox_ch.txt
LOG  : Mod         , 1724590090515> mod "MoreBuilds" overrides media/lua/shared/translate/ch/tooltip_ch.txt
LOG  : Mod         , 1724590090516> mod "MoreBuilds" overrides media/lua/shared/translate/cn/contextmenu_cn.txt
LOG  : Mod         , 1724590090516> mod "MoreBuilds" overrides media/lua/shared/translate/cn/sandbox_cn.txt
LOG  : Mod         , 1724590090516> mod "MoreBuilds" overrides media/lua/shared/translate/cn/tooltip_cn.txt
LOG  : Mod         , 1724590090517> mod "MoreBuilds" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1724590090517> mod "MoreBuilds" overrides media/lua/shared/translate/en/sandbox_en.txt
LOG  : Mod         , 1724590090517> mod "MoreBuilds" overrides media/lua/shared/translate/en/tooltip_en.txt
LOG  : Mod         , 1724590090518> mod "MoreBuilds" overrides media/lua/shared/translate/es/contextmenu_es.txt
LOG  : Mod         , 1724590090518> mod "MoreBuilds" overrides media/lua/shared/translate/es/tooltip_es.txt
LOG  : Mod         , 1724590090519> mod "MoreBuilds" overrides media/lua/shared/translate/fr/contextmenu_fr.txt
LOG  : Mod         , 1724590090519> mod "MoreBuilds" overrides media/lua/shared/translate/fr/tooltip_fr.txt
LOG  : Mod         , 1724590090519> mod "MoreBuilds" overrides media/lua/shared/translate/ko/contextmenu_ko.txt
LOG  : Mod         , 1724590090520> mod "MoreBuilds" overrides media/lua/shared/translate/ko/sandbox_ko.txt
LOG  : Mod         , 1724590090520> mod "MoreBuilds" overrides media/lua/shared/translate/ko/tooltip_ko.txt
LOG  : Mod         , 1724590090520> mod "MoreBuilds" overrides media/lua/shared/translate/ru/contextmenu_ru.txt
LOG  : Mod         , 1724590090521> mod "MoreBuilds" overrides media/lua/shared/translate/ru/tooltip_ru.txt
LOG  : Mod         , 1724590090521> mod "MoreBuilds" overrides media/sandbox-options.txt
LOG  : Mod         , 1724590090523> loading ModTemplate
LOG  : Mod         , 1724590090526> loading ImprovisedFlooringPlus
LOG  : Mod         , 1724590090527> loading ImprovisedFlooring
LOG  : Mod         , 1724590090531> mod "ImprovisedFlooring" overrides media/lua/shared/translate/ch/ig_ui_ch.txt
LOG  : Mod         , 1724590090531> mod "ImprovisedFlooring" overrides media/lua/shared/translate/ch/itemname_ch.txt
LOG  : Mod         , 1724590090532> mod "ImprovisedFlooring" overrides media/lua/shared/translate/ch/moveables_ch.txt
LOG  : Mod         , 1724590090532> mod "ImprovisedFlooring" overrides media/lua/shared/translate/ch/recipes_ch.txt
LOG  : Mod         , 1724590090532> mod "ImprovisedFlooring" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1724590090533> mod "ImprovisedFlooring" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1724590090533> mod "ImprovisedFlooring" overrides media/lua/shared/translate/en/moveables_en.txt
LOG  : Mod         , 1724590090533> mod "ImprovisedFlooring" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1724590090534> mod "ImprovisedFlooring" overrides media/lua/shared/translate/es/ig_ui_es.txt
LOG  : Mod         , 1724590090534> mod "ImprovisedFlooring" overrides media/lua/shared/translate/es/itemname_es.txt
LOG  : Mod         , 1724590090534> mod "ImprovisedFlooring" overrides media/lua/shared/translate/es/moveables_es.txt
LOG  : Mod         , 1724590090535> mod "ImprovisedFlooring" overrides media/lua/shared/translate/es/recipes_es.txt
LOG  : Mod         , 1724590090535> mod "ImprovisedFlooring" overrides media/models_x/worlditems/magazine.fbx
LOG  : Mod         , 1724590090542> loading ISA_41
LOG  : Mod         , 1724590090561> mod "ISA_41" overrides media/lua/shared/translate/ar/contextmenu_ar.txt
LOG  : Mod         , 1724590090561> mod "ISA_41" overrides media/lua/shared/translate/ar/ig_ui_ar.txt
LOG  : Mod         , 1724590090562> mod "ISA_41" overrides media/lua/shared/translate/ar/itemname_ar.txt
LOG  : Mod         , 1724590090562> mod "ISA_41" overrides media/lua/shared/translate/ar/moveables_ar.txt
LOG  : Mod         , 1724590090562> mod "ISA_41" overrides media/lua/shared/translate/ar/recipes_ar.txt
LOG  : Mod         , 1724590090563> mod "ISA_41" overrides media/lua/shared/translate/ar/sandbox_ar.txt
LOG  : Mod         , 1724590090563> mod "ISA_41" overrides media/lua/shared/translate/ar/stash_ar.txt
LOG  : Mod         , 1724590090563> mod "ISA_41" overrides media/lua/shared/translate/ar/tooltip_ar.txt
LOG  : Mod         , 1724590090564> mod "ISA_41" overrides media/lua/shared/translate/ca/contextmenu_ca.txt
LOG  : Mod         , 1724590090564> mod "ISA_41" overrides media/lua/shared/translate/ca/ig_ui_ca.txt
LOG  : Mod         , 1724590090565> mod "ISA_41" overrides media/lua/shared/translate/ca/itemname_ca.txt
LOG  : Mod         , 1724590090565> mod "ISA_41" overrides media/lua/shared/translate/ca/moveables_ca.txt
LOG  : Mod         , 1724590090565> mod "ISA_41" overrides media/lua/shared/translate/ca/recipes_ca.txt
LOG  : Mod         , 1724590090566> mod "ISA_41" overrides media/lua/shared/translate/ca/sandbox_ca.txt
LOG  : Mod         , 1724590090566> mod "ISA_41" overrides media/lua/shared/translate/ca/stash_ca.txt
LOG  : Mod         , 1724590090566> mod "ISA_41" overrides media/lua/shared/translate/ca/tooltip_ca.txt
LOG  : Mod         , 1724590090567> mod "ISA_41" overrides media/lua/shared/translate/ch/contextmenu_ch.txt
LOG  : Mod         , 1724590090567> mod "ISA_41" overrides media/lua/shared/translate/ch/ig_ui_ch.txt
LOG  : Mod         , 1724590090567> mod "ISA_41" overrides media/lua/shared/translate/ch/itemname_ch.txt
LOG  : Mod         , 1724590090568> mod "ISA_41" overrides media/lua/shared/translate/ch/moveables_ch.txt
LOG  : Mod         , 1724590090568> mod "ISA_41" overrides media/lua/shared/translate/ch/recipes_ch.txt
LOG  : Mod         , 1724590090568> mod "ISA_41" overrides media/lua/shared/translate/ch/sandbox_ch.txt
LOG  : Mod         , 1724590090569> mod "ISA_41" overrides media/lua/shared/translate/ch/stash_ch.txt
LOG  : Mod         , 1724590090569> mod "ISA_41" overrides media/lua/shared/translate/ch/tooltip_ch.txt
LOG  : Mod         , 1724590090569> mod "ISA_41" overrides media/lua/shared/translate/cn/contextmenu_cn.txt
LOG  : Mod         , 1724590090570> mod "ISA_41" overrides media/lua/shared/translate/cn/ig_ui_cn.txt
LOG  : Mod         , 1724590090570> mod "ISA_41" overrides media/lua/shared/translate/cn/itemname_cn.txt
LOG  : Mod         , 1724590090571> mod "ISA_41" overrides media/lua/shared/translate/cn/moveables_cn.txt
LOG  : Mod         , 1724590090571> mod "ISA_41" overrides media/lua/shared/translate/cn/recipes_cn.txt
LOG  : Mod         , 1724590090571> mod "ISA_41" overrides media/lua/shared/translate/cn/sandbox_cn.txt
LOG  : Mod         , 1724590090572> mod "ISA_41" overrides media/lua/shared/translate/cn/stash_cn.txt
LOG  : Mod         , 1724590090572> mod "ISA_41" overrides media/lua/shared/translate/cn/tooltip_cn.txt
LOG  : Mod         , 1724590090572> mod "ISA_41" overrides media/lua/shared/translate/cs/contextmenu_cs.txt
LOG  : Mod         , 1724590090573> mod "ISA_41" overrides media/lua/shared/translate/cs/ig_ui_cs.txt
LOG  : Mod         , 1724590090573> mod "ISA_41" overrides media/lua/shared/translate/cs/itemname_cs.txt
LOG  : Mod         , 1724590090573> mod "ISA_41" overrides media/lua/shared/translate/cs/moveables_cs.txt
LOG  : Mod         , 1724590090574> mod "ISA_41" overrides media/lua/shared/translate/cs/recipes_cs.txt
LOG  : Mod         , 1724590090574> mod "ISA_41" overrides media/lua/shared/translate/cs/sandbox_cs.txt
LOG  : Mod         , 1724590090575> mod "ISA_41" overrides media/lua/shared/translate/cs/stash_cs.txt
LOG  : Mod         , 1724590090575> mod "ISA_41" overrides media/lua/shared/translate/cs/tooltip_cs.txt
LOG  : Mod         , 1724590090575> mod "ISA_41" overrides media/lua/shared/translate/da/contextmenu_da.txt
LOG  : Mod         , 1724590090576> mod "ISA_41" overrides media/lua/shared/translate/da/ig_ui_da.txt
LOG  : Mod         , 1724590090576> mod "ISA_41" overrides media/lua/shared/translate/da/itemname_da.txt
LOG  : Mod         , 1724590090577> mod "ISA_41" overrides media/lua/shared/translate/da/recipes_da.txt
LOG  : Mod         , 1724590090577> mod "ISA_41" overrides media/lua/shared/translate/da/tooltip_da.txt
LOG  : Mod         , 1724590090578> mod "ISA_41" overrides media/lua/shared/translate/de/contextmenu_de.txt
LOG  : Mod         , 1724590090578> mod "ISA_41" overrides media/lua/shared/translate/de/ig_ui_de.txt
LOG  : Mod         , 1724590090579> mod "ISA_41" overrides media/lua/shared/translate/de/itemname_de.txt
LOG  : Mod         , 1724590090579> mod "ISA_41" overrides media/lua/shared/translate/de/moveables_de.txt
LOG  : Mod         , 1724590090579> mod "ISA_41" overrides media/lua/shared/translate/de/recipes_de.txt
LOG  : Mod         , 1724590090580> mod "ISA_41" overrides media/lua/shared/translate/de/sandbox_de.txt
LOG  : Mod         , 1724590090580> mod "ISA_41" overrides media/lua/shared/translate/de/stash_de.txt
LOG  : Mod         , 1724590090580> mod "ISA_41" overrides media/lua/shared/translate/de/tooltip_de.txt
LOG  : Mod         , 1724590090581> mod "ISA_41" overrides media/lua/shared/translate/en/contextmenu_en.txt
LOG  : Mod         , 1724590090581> mod "ISA_41" overrides media/lua/shared/translate/en/ig_ui_en.txt
LOG  : Mod         , 1724590090581> mod "ISA_41" overrides media/lua/shared/translate/en/itemname_en.txt
LOG  : Mod         , 1724590090582> mod "ISA_41" overrides media/lua/shared/translate/en/moveables_en.txt
LOG  : Mod         , 1724590090582> mod "ISA_41" overrides media/lua/shared/translate/en/recipes_en.txt
LOG  : Mod         , 1724590090582> mod "ISA_41" overrides media/lua/shared/translate/en/sandbox_en.txt
LOG  : Mod         , 1724590090583> mod "ISA_41" overrides media/lua/shared/translate/en/stash_en.txt
LOG  : Mod         , 1724590090583> mod "ISA_41" overrides media/lua/shared/translate/en/tooltip_en.txt
